         584629 function calls (568917 primitive calls) in 0.340 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 4290/132    0.075    0.000    0.162    0.001 _quad_vec.py:487(_quadrature_gk)
  1430/44    0.027    0.000    0.171    0.004 _quad_vec.py:104(quad_vec)
        1    0.016    0.016    0.016    0.016 {method 'encode' of 'ImagingEncoder' objects}
   192324    0.011    0.000    0.011    0.000 {built-in method builtins.abs}
     4290    0.010    0.000    0.018    0.000 linalg.py:2383(norm)
    90794    0.006    0.000    0.006    0.000 main.py:42(__lambda)
       63    0.005    0.000    0.005    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     4290    0.004    0.000    0.005    0.000 _quad_vec.py:16(__setitem__)
      132    0.004    0.000    0.022    0.000 text.py:358(_get_layout)
     1315    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4290    0.004    0.000    0.004    0.000 {method 'dot' of 'numpy.ndarray' objects}
       25    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
       44    0.003    0.000    0.003    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5720    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
 1430/506    0.003    0.000    0.129    0.000 _quad_vec.py:434(_subdivide_interval)
  2412/40    0.002    0.000    0.005    0.000 copy.py:128(deepcopy)
     2613    0.002    0.000    0.005    0.000 copy.py:66(copy)
26447/26439    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     8594    0.002    0.000    0.004    0.000 {built-in method builtins.getattr}
        1    0.002    0.002    0.002    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
     1430    0.002    0.000    0.010    0.000 _util.py:445(__init__)
      693    0.002    0.000    0.158    0.000 pdf.py:29(<lambda>)
 4290/132    0.002    0.000    0.162    0.001 _quad_vec.py:538(_quadrature_gk21)
      945    0.002    0.000    0.003    0.000 font_manager.py:638(__hash__)
     1419    0.002    0.000    0.166    0.000 pdf.py:27(<lambda>)
  190/169    0.002    0.000    0.003    0.000 transforms.py:2431(get_affine)
      384    0.002    0.000    0.008    0.000 artist.py:1176(_update_props)
     3955    0.002    0.000    0.004    0.000 __init__.py:741(__getitem__)
4784/4177    0.002    0.000    0.003    0.000 artist.py:317(stale)
        1    0.002    0.002    0.002    0.002 linalg.py:492(inv)
    11162    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     1672    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7596    0.001    0.000    0.002    0.000 {built-in method builtins.max}
